symbol,shortName,longName,currency,regularMarketPrice,regularMarketDayHigh,regularMarketDayLow,regularMarketDayRange,regularMarketChange,regularMarketChangePercent,regularMarketTime,marketCap,regularMarketVolume,regularMarketPreviousClose,regularMarketOpen,fiftyTwoWeekRange,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceEarnings,earningsPerShare
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,132.73,134.44,129.85,129.85 - 134.44,-0.37,-0.28,2026-03-16T18:31:51.000Z,33639150881.410248,578041,132.73,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.86,45.86,44.8,44.8 - 45.86,1.19,2.66,2026-03-16T18:31:51.000Z,604751749273,27565500,45.83,44.88,28.86 - 46.09,28.86,46.09,5.367132457926643,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.52,80.2,78.86,78.86 - 80.2,1.22,1.56,2026-03-16T18:31:51.000Z,334245394680,9146300,79.51,79.39,48.77 - 91.62,48.77,91.62,24.65736434108527,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,132.72,134.44,129.85,129.85 - 134.44,-0.38,-0.29,2026-03-16T19:02:51.000Z,33639150881.410248,615788,132.72,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.9,45.99,44.8,44.8 - 45.99,1.23,2.75,2026-03-16T19:02:51.000Z,604751749273,30158100,45.89,44.88,28.86 - 46.09,28.86,46.09,5.371813777122393,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.46,80.2,78.86,78.86 - 80.2,1.16,1.48,2026-03-16T19:02:51.000Z,334245394680,9734400,79.43,79.39,48.77 - 91.62,48.77,91.62,24.638759689922477,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,132.23,134.44,129.85,129.85 - 134.44,-0.87,-0.65,2026-03-16T19:32:51.000Z,33639150881.410248,660868,132.26,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.85,45.99,44.8,44.8 - 45.99,1.18,2.64,2026-03-16T19:32:51.000Z,604751749273,31893700,45.86,44.88,28.86 - 46.09,28.86,46.09,5.365962128127706,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.45,80.2,78.86,78.86 - 80.2,1.15,1.47,2026-03-16T19:32:51.000Z,334245394680,10662500,79.45,79.39,48.77 - 91.62,48.77,91.62,24.635658914728683,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,132.55,134.44,129.85,129.85 - 134.44,-0.55,-0.41,2026-03-16T19:55:51.000Z,33639150881.410248,688031,132.47,133.38,29.54 - 156,29.54,156,,-0.0020462
PETR4,PETR4,Petroleo Brasileiro SA Pfd,BRL,45.7,45.99,44.8,44.8 - 45.99,1.03,2.31,2026-03-16T19:55:51.000Z,604751749273,34994900,45.7,44.88,28.86 - 46.09,28.86,46.09,5.348407181143646,8.5445949
VALE3,VALE3,Vale S.A.,BRL,79.05,80.2,78.86,78.86 - 80.2,0.75,0.96,2026-03-16T19:55:51.000Z,334245394680,11387900,79.05,79.39,48.77 - 91.62,48.77,91.62,24.51162790697674,3.2360644
AURA33,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,BRL,132.46,134.44,129.85,129.85 - 134.44,-0.64,-0.48,2026-03-16T20:22:51.000Z,33639150881.410248,710205,132.46,133.38,29.54 - 156,29.54,156,,-0.0020462
